jahr,szenario,korridor,beitragssatz_obergrenze,referenzausgaben_mrd_euro,beitragsbasis_status_quo_mrd_euro,zusatzbasis_erwerbstaetige_mrd_euro,beitragsbasis_reform_mrd_euro,beitragseinnahmen_mrd_euro,bestandsschutz_zuschuss_mrd_euro,sonstige_einnahmen_mrd_euro,leistbares_ausgabenvolumen_mrd_euro,finanzierungsluecke_vs_referenz_mrd_euro,leistungsfaktor_vs_referenz,notiz
2033,jung,obergrenze_24_prozent,0.240000,554.359,2013.103,83.354,2096.457,503.150,83.992,3.892,591.033,-36.674,1.066156,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2034,jung,ziel_20_prozent,0.200000,577.517,2052.812,106.248,2159.060,431.812,79.464,3.989,515.265,62.252,0.892207,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2034,jung,stabil_22_prozent,0.220000,577.517,2052.812,106.248,2159.060,474.993,79.464,3.989,558.446,19.071,0.966978,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2034,jung,obergrenze_24_prozent,0.240000,577.517,2052.812,106.248,2159.060,518.174,79.464,3.989,601.627,-24.110,1.041748,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2035,jung,ziel_20_prozent,0.200000,601.537,2093.247,130.009,2223.257,444.651,75.003,4.089,523.743,77.794,0.870675,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2035,jung,stabil_22_prozent,0.220000,601.537,2093.247,130.009,2223.257,489.116,75.003,4.089,568.208,33.329,0.944594,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2035,jung,obergrenze_24_prozent,0.240000,601.537,2093.247,130.009,2223.257,533.582,75.003,4.089,612.674,-11.137,1.018514,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2036,jung,ziel_20_prozent,0.200000,626.449,2134.422,135.034,2269.456,453.891,70.625,4.191,528.707,97.743,0.843974,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2036,jung,stabil_22_prozent,0.220000,626.449,2134.422,135.034,2269.456,499.280,70.625,4.191,574.096,52.353,0.916428,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2036,jung,obergrenze_24_prozent,0.240000,626.449,2134.422,135.034,2269.456,544.670,70.625,4.191,619.485,6.964,0.988883,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2037,jung,ziel_20_prozent,0.200000,652.285,2176.347,140.203,2316.550,463.310,66.341,4.296,533.947,118.338,0.818579,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2037,jung,stabil_22_prozent,0.220000,652.285,2176.347,140.203,2316.550,509.641,66.341,4.296,580.278,72.007,0.889608,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2037,jung,obergrenze_24_prozent,0.240000,652.285,2176.347,140.203,2316.550,555.972,66.341,4.296,626.609,25.676,0.960636,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2038,jung,ziel_20_prozent,0.200000,679.077,2219.034,145.519,2364.553,472.911,62.165,4.403,539.479,139.598,0.794430,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2038,jung,stabil_22_prozent,0.220000,679.077,2219.034,145.519,2364.553,520.202,62.165,4.403,586.770,92.307,0.864070,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2038,jung,obergrenze_24_prozent,0.240000,679.077,2219.034,145.519,2364.553,567.493,62.165,4.403,634.061,45.015,0.933711,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2039,jung,ziel_20_prozent,0.200000,697.665,2270.970,151.551,2422.521,484.504,58.108,4.513,547.125,150.540,0.784223,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2039,jung,stabil_22_prozent,0.220000,697.665,2270.970,151.551,2422.521,532.955,58.108,4.513,595.576,102.089,0.853670,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2039,jung,obergrenze_24_prozent,0.240000,697.665,2270.970,151.551,2422.521,581.405,58.108,4.513,644.026,53.639,0.923116,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2040,jung,ziel_20_prozent,0.200000,713.276,2324.116,157.785,2481.900,496.380,54.176,4.626,555.182,158.094,0.778355,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2040,jung,stabil_22_prozent,0.220000,713.276,2324.116,157.785,2481.900,546.018,54.176,4.626,604.820,108.456,0.847946,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2040,jung,obergrenze_24_prozent,0.240000,713.276,2324.116,157.785,2481.900,595.656,54.176,4.626,654.458,58.818,0.917538,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2041,jung,ziel_20_prozent,0.200000,729.236,2378.499,164.227,2542.726,508.545,50.374,4.742,563.660,165.575,0.772947,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2041,jung,stabil_22_prozent,0.220000,729.236,2378.499,164.227,2542.726,559.400,50.374,4.742,614.515,114.721,0.842684,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2041,jung,obergrenze_24_prozent,0.240000,729.236,2378.499,164.227,2542.726,610.254,50.374,4.742,665.370,63.866,0.912420,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2042,jung,ziel_20_prozent,0.200000,745.552,2434.149,170.884,2605.033,521.007,46.704,4.860,572.570,172.982,0.767981,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2042,jung,stabil_22_prozent,0.220000,745.552,2434.149,170.884,2605.033,573.107,46.704,4.860,624.671,120.881,0.837863,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2042,jung,obergrenze_24_prozent,0.240000,745.552,2434.149,170.884,2605.033,625.208,46.704,4.860,676.772,68.781,0.907745,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2043,jung,ziel_20_prozent,0.200000,762.234,2491.096,177.762,2668.858,533.772,43.166,4.982,581.919,180.315,0.763439,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2043,jung,stabil_22_prozent,0.220000,762.234,2491.096,177.762,2668.858,587.149,43.166,4.982,635.296,126.938,0.833466,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2043,jung,obergrenze_24_prozent,0.240000,762.234,2491.096,177.762,2668.858,640.526,43.166,4.982,688.673,73.561,0.903493,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2044,jung,ziel_20_prozent,0.200000,779.288,2549.368,184.868,2734.236,546.847,39.759,5.106,591.713,187.576,0.759299,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2044,jung,stabil_22_prozent,0.220000,779.288,2549.368,184.868,2734.236,601.532,39.759,5.106,646.397,132.891,0.829471,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2044,jung,obergrenze_24_prozent,0.240000,779.288,2549.368,184.868,2734.236,656.217,39.759,5.106,701.082,78.206,0.899644,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2045,jung,ziel_20_prozent,0.200000,796.724,2608.997,192.209,2801.205,560.241,36.483,5.234,601.958,194.766,0.755541,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2045,jung,stabil_22_prozent,0.220000,796.724,2608.997,192.209,2801.205,616.265,36.483,5.234,657.982,138.742,0.825859,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2045,jung,obergrenze_24_prozent,0.240000,796.724,2608.997,192.209,2801.205,672.289,36.483,5.234,714.006,82.718,0.896177,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2046,jung,ziel_20_prozent,0.200000,814.550,2670.013,199.338,2869.352,573.870,33.337,5.365,612.572,201.978,0.752037,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2046,jung,stabil_22_prozent,0.220000,814.550,2670.013,199.338,2869.352,631.257,33.337,5.365,669.959,144.591,0.822490,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2046,jung,obergrenze_24_prozent,0.240000,814.550,2670.013,199.338,2869.352,688.644,33.337,5.365,727.346,87.204,0.892942,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2047,jung,ziel_20_prozent,0.200000,832.774,2732.451,206.696,2939.146,587.829,30.322,5.499,623.650,209.124,0.748883,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2047,jung,stabil_22_prozent,0.220000,832.774,2732.451,206.696,2939.146,646.612,30.322,5.499,682.433,150.341,0.819470,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2047,jung,obergrenze_24_prozent,0.240000,832.774,2732.451,206.696,2939.146,705.395,30.322,5.499,741.216,91.558,0.890056,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2048,jung,ziel_20_prozent,0.200000,851.405,2796.341,214.288,3010.629,602.126,27.441,5.636,635.203,216.202,0.746065,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2048,jung,stabil_22_prozent,0.220000,851.405,2796.341,214.288,3010.629,662.338,27.441,5.636,695.416,155.989,0.816786,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2048,jung,obergrenze_24_prozent,0.240000,851.405,2796.341,214.288,3010.629,722.551,27.441,5.636,755.628,95.777,0.887507,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2049,jung,ziel_20_prozent,0.200000,870.453,2861.718,222.121,3083.839,616.768,24.700,5.777,647.245,223.208,0.743572,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2049,jung,stabil_22_prozent,0.220000,870.453,2861.718,222.121,3083.839,678.445,24.700,5.777,708.922,161.532,0.814428,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2049,jung,obergrenze_24_prozent,0.240000,870.453,2861.718,222.121,3083.839,740.121,24.700,5.777,770.598,99.855,0.885284,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2050,jung,ziel_20_prozent,0.200000,889.927,2928.616,230.204,3158.819,631.764,22.104,5.921,659.790,230.137,0.741398,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2050,jung,stabil_22_prozent,0.220000,889.927,2928.616,230.204,3158.819,694.940,22.104,5.921,722.966,166.961,0.812388,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2050,jung,obergrenze_24_prozent,0.240000,889.927,2928.616,230.204,3158.819,758.117,22.104,5.921,786.142,103.785,0.883379,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2051,jung,ziel_20_prozent,0.200000,909.836,2997.070,238.542,3235.612,647.122,19.663,6.070,672.854,236.982,0.739534,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2051,jung,stabil_22_prozent,0.220000,909.836,2997.070,238.542,3235.612,711.835,19.663,6.070,737.567,172.269,0.810659,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2051,jung,obergrenze_24_prozent,0.240000,909.836,2997.070,238.542,3235.612,776.547,19.663,6.070,802.279,107.557,0.881784,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2052,jung,ziel_20_prozent,0.200000,930.190,3067.117,247.143,3314.260,662.852,17.384,6.221,686.457,243.733,0.737975,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2052,jung,stabil_22_prozent,0.220000,930.190,3067.117,247.143,3314.260,729.137,17.384,6.221,752.743,177.448,0.809235,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2052,jung,obergrenze_24_prozent,0.240000,930.190,3067.117,247.143,3314.260,795.422,17.384,6.221,819.028,111.162,0.880495,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2053,jung,ziel_20_prozent,0.200000,950.999,3138.793,256.016,3394.808,678.962,15.279,6.377,700.618,250.382,0.736717,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2053,jung,stabil_22_prozent,0.220000,950.999,3138.793,256.016,3394.808,746.858,15.279,6.377,768.514,182.485,0.808112,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2053,jung,obergrenze_24_prozent,0.240000,950.999,3138.793,256.016,3394.808,814.754,15.279,6.377,836.410,114.589,0.879506,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2054,jung,ziel_20_prozent,0.200000,972.274,3212.136,265.167,3477.303,695.461,13.356,6.536,715.353,256.921,0.735752,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2054,jung,stabil_22_prozent,0.220000,972.274,3212.136,265.167,3477.303,765.007,13.356,6.536,784.899,187.375,0.807282,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2054,jung,obergrenze_24_prozent,0.240000,972.274,3212.136,265.167,3477.303,834.553,13.356,6.536,854.445,117.829,0.878811,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2055,jung,ziel_20_prozent,0.200000,994.023,3287.184,274.606,3561.790,712.358,11.620,6.700,730.677,263.346,0.735071,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2055,jung,stabil_22_prozent,0.220000,994.023,3287.184,274.606,3561.790,783.594,11.620,6.700,801.913,192.110,0.806735,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2055,jung,obergrenze_24_prozent,0.240000,994.023,3287.184,274.606,3561.790,854.830,11.620,6.700,873.149,120.875,0.878399,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2056,jung,ziel_20_prozent,0.200000,1016.259,3363.977,284.340,3648.317,729.663,10.073,6.867,746.603,269.656,0.734658,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2056,jung,stabil_22_prozent,0.220000,1016.259,3363.977,284.340,3648.317,802.630,10.073,6.867,819.569,196.690,0.806457,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2056,jung,obergrenze_24_prozent,0.240000,1016.259,3363.977,284.340,3648.317,875.596,10.073,6.867,892.536,123.724,0.878256,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2057,jung,ziel_20_prozent,0.200000,1038.992,3442.555,294.379,3736.934,747.387,8.712,7.039,763.138,275.855,0.734498,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2057,jung,stabil_22_prozent,0.220000,1038.992,3442.555,294.379,3736.934,822.125,8.712,7.039,837.877,201.116,0.806432,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2057,jung,obergrenze_24_prozent,0.240000,1038.992,3442.555,294.379,3736.934,896.864,8.712,7.039,912.615,126.377,0.878366,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2058,jung,ziel_20_prozent,0.200000,1062.234,3522.960,304.730,3827.690,765.538,7.533,7.215,780.286,281.948,0.734571,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2058,jung,stabil_22_prozent,0.220000,1062.234,3522.960,304.730,3827.690,842.092,7.533,7.215,856.840,205.394,0.806640,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2058,jung,obergrenze_24_prozent,0.240000,1062.234,3522.960,304.730,3827.690,918.646,7.533,7.215,933.393,128.840,0.878708,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
