jahr,kategorie,zahlungspflichtiger,brutto_ausweis_mrd_euro,bereits_in_drv_finanzierung_mrd_euro,modellierter_netto_zusatzeffekt_mrd_euro,zahlungsstatus,doppelfrei_notiz
2035,kindererziehungszeiten,Bund,24.510,24.510,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2035,pflegezeiten,Pflegeversicherung,7.209,7.209,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2035,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,7.276,7.276,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2035,versorgungsdienststellen,Versorgungsdienststellen,1.725,1.725,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2036,kindererziehungszeiten,Bund,25.123,25.123,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2036,pflegezeiten,Pflegeversicherung,7.390,7.390,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2036,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,7.458,7.458,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2036,versorgungsdienststellen,Versorgungsdienststellen,1.768,1.768,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2037,kindererziehungszeiten,Bund,25.751,25.751,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2037,pflegezeiten,Pflegeversicherung,7.574,7.574,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2037,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,7.645,7.645,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2037,versorgungsdienststellen,Versorgungsdienststellen,1.813,1.813,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2038,kindererziehungszeiten,Bund,26.395,26.395,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2038,pflegezeiten,Pflegeversicherung,7.764,7.764,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2038,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,7.836,7.836,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2038,versorgungsdienststellen,Versorgungsdienststellen,1.858,1.858,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2039,kindererziehungszeiten,Bund,27.055,27.055,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2039,pflegezeiten,Pflegeversicherung,7.958,7.958,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2039,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,8.032,8.032,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2039,versorgungsdienststellen,Versorgungsdienststellen,1.904,1.904,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2040,kindererziehungszeiten,Bund,27.731,27.731,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2040,pflegezeiten,Pflegeversicherung,8.157,8.157,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2040,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,8.232,8.232,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2040,versorgungsdienststellen,Versorgungsdienststellen,1.952,1.952,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2041,kindererziehungszeiten,Bund,28.424,28.424,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2041,pflegezeiten,Pflegeversicherung,8.361,8.361,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2041,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,8.438,8.438,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2041,versorgungsdienststellen,Versorgungsdienststellen,2.001,2.001,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2042,kindererziehungszeiten,Bund,29.135,29.135,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2042,pflegezeiten,Pflegeversicherung,8.570,8.570,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2042,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,8.649,8.649,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2042,versorgungsdienststellen,Versorgungsdienststellen,2.051,2.051,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2043,kindererziehungszeiten,Bund,29.863,29.863,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2043,pflegezeiten,Pflegeversicherung,8.784,8.784,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2043,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,8.865,8.865,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2043,versorgungsdienststellen,Versorgungsdienststellen,2.102,2.102,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2044,kindererziehungszeiten,Bund,30.610,30.610,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2044,pflegezeiten,Pflegeversicherung,9.004,9.004,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2044,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,9.087,9.087,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2044,versorgungsdienststellen,Versorgungsdienststellen,2.155,2.155,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2045,kindererziehungszeiten,Bund,31.375,31.375,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2045,pflegezeiten,Pflegeversicherung,9.229,9.229,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2045,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,9.314,9.314,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2045,versorgungsdienststellen,Versorgungsdienststellen,2.209,2.209,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2046,kindererziehungszeiten,Bund,32.160,32.160,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2046,pflegezeiten,Pflegeversicherung,9.459,9.459,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2046,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,9.547,9.547,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2046,versorgungsdienststellen,Versorgungsdienststellen,2.264,2.264,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2047,kindererziehungszeiten,Bund,32.964,32.964,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2047,pflegezeiten,Pflegeversicherung,9.696,9.696,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2047,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,9.786,9.786,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2047,versorgungsdienststellen,Versorgungsdienststellen,2.320,2.320,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2048,kindererziehungszeiten,Bund,33.788,33.788,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2048,pflegezeiten,Pflegeversicherung,9.938,9.938,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2048,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,10.030,10.030,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2048,versorgungsdienststellen,Versorgungsdienststellen,2.378,2.378,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2049,kindererziehungszeiten,Bund,34.632,34.632,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2049,pflegezeiten,Pflegeversicherung,10.187,10.187,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2049,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,10.281,10.281,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2049,versorgungsdienststellen,Versorgungsdienststellen,2.438,2.438,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2050,kindererziehungszeiten,Bund,35.498,35.498,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2050,pflegezeiten,Pflegeversicherung,10.441,10.441,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2050,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,10.538,10.538,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2050,versorgungsdienststellen,Versorgungsdienststellen,2.499,2.499,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2051,kindererziehungszeiten,Bund,36.386,36.386,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2051,pflegezeiten,Pflegeversicherung,10.702,10.702,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2051,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,10.802,10.802,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2051,versorgungsdienststellen,Versorgungsdienststellen,2.561,2.561,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2052,kindererziehungszeiten,Bund,37.295,37.295,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2052,pflegezeiten,Pflegeversicherung,10.970,10.970,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2052,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,11.072,11.072,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2052,versorgungsdienststellen,Versorgungsdienststellen,2.625,2.625,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2053,kindererziehungszeiten,Bund,38.228,38.228,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2053,pflegezeiten,Pflegeversicherung,11.244,11.244,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2053,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,11.349,11.349,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2053,versorgungsdienststellen,Versorgungsdienststellen,2.691,2.691,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2054,kindererziehungszeiten,Bund,39.183,39.183,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2054,pflegezeiten,Pflegeversicherung,11.525,11.525,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2054,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,11.632,11.632,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2054,versorgungsdienststellen,Versorgungsdienststellen,2.758,2.758,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2055,kindererziehungszeiten,Bund,40.163,40.163,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2055,pflegezeiten,Pflegeversicherung,11.813,11.813,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2055,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,11.923,11.923,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2055,versorgungsdienststellen,Versorgungsdienststellen,2.827,2.827,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2056,kindererziehungszeiten,Bund,41.167,41.167,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2056,pflegezeiten,Pflegeversicherung,12.109,12.109,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2056,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,12.221,12.221,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2056,versorgungsdienststellen,Versorgungsdienststellen,2.898,2.898,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2057,kindererziehungszeiten,Bund,42.196,42.196,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2057,pflegezeiten,Pflegeversicherung,12.412,12.412,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2057,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,12.527,12.527,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2057,versorgungsdienststellen,Versorgungsdienststellen,2.970,2.970,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2058,kindererziehungszeiten,Bund,43.251,43.251,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2058,pflegezeiten,Pflegeversicherung,12.722,12.722,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2058,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,12.840,12.840,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2058,versorgungsdienststellen,Versorgungsdienststellen,3.044,3.044,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2059,kindererziehungszeiten,Bund,44.332,44.332,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2059,pflegezeiten,Pflegeversicherung,13.040,13.040,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2059,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,13.161,13.161,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2059,versorgungsdienststellen,Versorgungsdienststellen,3.121,3.121,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2060,kindererziehungszeiten,Bund,45.441,45.441,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2060,pflegezeiten,Pflegeversicherung,13.366,13.366,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2060,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,13.490,13.490,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2060,versorgungsdienststellen,Versorgungsdienststellen,3.199,3.199,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2061,kindererziehungszeiten,Bund,46.577,46.577,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
