jahr,szenario,personen_20_66_mio,personen_67_plus_mio,ausgaben_mrd_euro,beitragsbasis_mrd_euro,fixer_beitragssatz,beitragseinnahmen_fix_mrd_euro,sonstige_einnahmen_mrd_euro,bundesmittel_basis_2025_mrd_euro,einnahmen_bei_fixem_beitrag_mrd_euro,finanzierungsluecke_mrd_euro,erforderliche_bundesmittel_mrd_euro,zusatz_bundesmittel_vs_2025_mrd_euro,aequivalenter_zusatzbeitragssatz_punkte,notiz
2041,jung,47.452,20.463,729.236,2378.499,0.186000,442.401,4.742,97.858,545.000,184.235,282.093,184.235,7.746,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2042,jung,47.378,20.450,745.552,2434.149,0.186000,452.752,4.860,97.858,555.470,190.083,287.941,190.083,7.809,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2043,jung,47.303,20.438,762.234,2491.096,0.186000,463.344,4.982,97.858,566.183,196.051,293.909,196.051,7.870,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2044,jung,47.229,20.425,779.288,2549.368,0.186000,474.182,5.106,97.858,577.146,202.142,300.000,202.142,7.929,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2045,jung,47.155,20.413,796.724,2608.997,0.186000,485.273,5.234,97.858,588.365,208.359,306.217,208.359,7.986,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2046,jung,47.081,20.400,814.550,2670.013,0.186000,496.623,5.365,97.858,599.845,214.705,312.563,214.705,8.041,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2047,jung,47.007,20.388,832.774,2732.451,0.186000,508.236,5.499,97.858,611.593,221.181,319.039,221.181,8.095,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2048,jung,46.932,20.375,851.405,2796.341,0.186000,520.119,5.636,97.858,623.614,227.792,325.650,227.792,8.146,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2049,jung,46.858,20.363,870.453,2861.718,0.186000,532.280,5.777,97.858,635.915,234.539,332.397,234.539,8.196,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2050,jung,46.784,20.350,889.927,2928.616,0.186000,544.723,5.921,97.858,648.502,241.425,339.283,241.425,8.244,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2051,jung,46.710,20.338,909.836,2997.070,0.186000,557.455,6.070,97.858,661.383,248.453,346.311,248.453,8.290,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2052,jung,46.636,20.325,930.190,3067.117,0.186000,570.484,6.221,97.858,674.563,255.627,353.485,255.627,8.334,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2053,jung,46.561,20.313,950.999,3138.793,0.186000,583.815,6.377,97.858,688.050,262.949,360.807,262.949,8.377,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2054,jung,46.487,20.300,972.274,3212.136,0.186000,597.457,6.536,97.858,701.851,270.422,368.280,270.422,8.419,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2055,jung,46.413,20.288,994.023,3287.184,0.186000,611.416,6.700,97.858,715.974,278.050,375.908,278.050,8.459,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2056,jung,46.339,20.275,1016.259,3363.977,0.186000,625.700,6.867,97.858,730.425,285.835,383.693,285.835,8.497,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2057,jung,46.265,20.263,1038.992,3442.555,0.186000,640.315,7.039,97.858,745.212,293.780,391.638,293.780,8.534,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2058,jung,46.190,20.250,1062.234,3522.960,0.186000,655.270,7.215,97.858,760.343,301.890,399.748,301.890,8.569,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2059,jung,46.116,20.238,1085.994,3605.233,0.186000,670.573,7.395,97.858,775.826,310.168,408.026,310.168,8.603,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2060,jung,46.042,20.225,1110.286,3689.418,0.186000,686.232,7.580,97.858,791.670,318.616,416.474,318.616,8.636,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2061,jung,45.968,20.213,1135.120,3775.559,0.186000,702.254,7.770,97.858,807.881,327.239,425.097,327.239,8.667,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2062,jung,45.894,20.200,1160.510,3863.701,0.186000,718.648,7.964,97.858,824.470,336.040,433.898,336.040,8.697,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2063,jung,45.819,20.188,1186.467,3953.890,0.186000,735.424,8.163,97.858,841.444,345.023,442.881,345.023,8.726,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2064,jung,45.745,20.175,1213.004,4046.175,0.186000,752.588,8.367,97.858,858.813,354.191,452.049,354.191,8.754,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2065,jung,45.671,20.163,1240.135,4140.602,0.186000,770.152,8.576,97.858,876.586,363.549,461.407,363.549,8.780,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2066,jung,45.597,20.150,1267.871,4237.222,0.186000,788.123,8.790,97.858,894.772,373.099,470.957,373.099,8.805,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2067,jung,45.523,20.138,1296.228,4336.084,0.186000,806.512,9.010,97.858,913.380,382.848,480.706,382.848,8.829,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2068,jung,45.448,20.125,1325.218,4437.242,0.186000,825.327,9.236,97.858,932.421,392.797,490.655,392.797,8.852,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2069,jung,45.374,20.113,1354.856,4540.748,0.186000,844.579,9.466,97.858,951.903,402.952,500.810,402.952,8.874,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2070,jung,45.300,20.100,1385.156,4646.655,0.186000,864.278,9.703,97.858,971.839,413.317,511.175,413.317,8.895,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2027,moderat,50.181,17.754,434.047,1780.143,0.186000,331.107,3.356,97.858,432.320,1.727,99.585,1.727,0.097,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2028,moderat,49.841,18.040,453.388,1812.295,0.186000,337.087,3.440,97.858,438.385,15.004,112.862,15.004,0.828,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2029,moderat,49.502,18.326,473.472,1844.943,0.186000,343.159,3.526,97.858,444.543,28.929,126.787,28.929,1.568,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2030,moderat,49.162,18.612,494.325,1878.090,0.186000,349.325,3.614,97.858,450.796,43.529,141.387,43.529,2.318,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2031,moderat,48.822,18.898,515.975,1911.741,0.186000,355.584,3.704,97.858,457.146,58.829,156.687,58.829,3.077,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2032,moderat,48.483,19.184,538.450,1945.901,0.186000,361.938,3.797,97.858,463.592,74.858,172.716,74.858,3.847,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2033,moderat,48.143,19.470,561.779,1980.574,0.186000,368.387,3.892,97.858,470.136,91.642,189.500,91.642,4.627,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2034,moderat,47.803,19.756,585.992,2015.765,0.186000,374.932,3.989,97.858,476.779,109.213,207.071,109.213,5.418,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2035,moderat,47.463,20.042,611.120,2051.477,0.186000,381.575,4.089,97.858,483.521,127.599,225.457,127.599,6.220,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2036,moderat,47.124,20.328,637.196,2087.715,0.186000,388.315,4.191,97.858,490.364,146.833,244.691,146.833,7.033,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2037,moderat,46.784,20.614,664.254,2124.483,0.186000,395.154,4.296,97.858,497.307,166.946,264.804,166.946,7.858,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2038,moderat,46.444,20.900,692.327,2161.784,0.186000,402.092,4.403,97.858,504.353,187.974,285.832,187.974,8.695,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2039,moderat,46.281,20.902,711.765,2208.010,0.186000,410.690,4.513,97.858,513.061,198.704,296.562,198.704,8.999,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2040,moderat,46.117,20.903,728.190,2255.195,0.186000,419.466,4.626,97.858,521.950,206.240,304.098,206.240,9.145,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2041,moderat,45.953,20.905,744.994,2303.361,0.186000,428.425,4.742,97.858,531.025,213.970,311.828,213.970,9.289,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2042,moderat,45.789,20.906,762.186,2352.524,0.186000,437.570,4.860,97.858,540.288,221.899,319.757,221.899,9.432,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2043,moderat,45.625,20.908,779.775,2402.707,0.186000,446.903,4.982,97.858,549.743,230.032,327.890,230.032,9.574,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2044,moderat,45.461,20.909,797.769,2453.928,0.186000,456.431,5.106,97.858,559.395,238.374,336.232,238.374,9.714,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2045,moderat,45.297,20.911,816.179,2506.208,0.186000,466.155,5.234,97.858,569.247,246.932,344.790,246.932,9.853,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2046,moderat,45.133,20.913,835.013,2559.569,0.186000,476.080,5.365,97.858,579.302,255.711,353.569,255.711,9.990,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2047,moderat,44.969,20.914,854.282,2614.032,0.186000,486.210,5.499,97.858,589.567,264.716,362.574,264.716,10.127,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2048,moderat,44.806,20.916,873.996,2669.618,0.186000,496.549,5.636,97.858,600.043,273.953,371.811,273.953,10.262,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2049,moderat,44.642,20.917,894.165,2726.349,0.186000,507.101,5.777,97.858,610.736,283.429,381.287,283.429,10.396,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2050,moderat,44.478,20.919,914.799,2784.249,0.186000,517.870,5.921,97.858,621.650,293.149,391.007,293.149,10.529,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2051,moderat,44.314,20.920,935.909,2843.339,0.186000,528.861,6.070,97.858,632.789,303.121,400.979,303.121,10.661,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2052,moderat,44.150,20.922,957.507,2903.644,0.186000,540.078,6.221,97.858,644.157,313.350,411.208,313.350,10.792,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2053,moderat,43.986,20.923,979.602,2965.187,0.186000,551.525,6.377,97.858,655.760,323.843,421.701,323.843,10.921,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2054,moderat,43.822,20.925,1002.208,3027.993,0.186000,563.207,6.536,97.858,667.601,334.607,432.465,334.607,11.050,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2055,moderat,43.658,20.927,1025.336,3092.085,0.186000,575.128,6.700,97.858,679.685,345.650,443.508,345.650,11.179,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2056,moderat,43.494,20.928,1048.997,3157.490,0.186000,587.293,6.867,97.858,692.018,356.978,454.836,356.978,11.306,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2057,moderat,43.331,20.930,1073.204,3224.232,0.186000,599.707,7.039,97.858,704.604,368.600,466.458,368.600,11.432,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2058,moderat,43.167,20.931,1097.969,3292.338,0.186000,612.375,7.215,97.858,717.448,380.522,478.380,380.522,11.558,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2059,moderat,43.003,20.933,1123.306,3361.834,0.186000,625.301,7.395,97.858,730.554,392.752,490.610,392.752,11.683,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2060,moderat,42.839,20.934,1149.228,3432.747,0.186000,638.491,7.580,97.858,743.929,405.299,503.157,405.299,11.807,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2061,moderat,42.675,20.936,1175.748,3505.105,0.186000,651.949,7.770,97.858,757.577,418.171,516.029,418.171,11.930,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2062,moderat,42.511,20.938,1202.880,3578.935,0.186000,665.682,7.964,97.858,771.504,431.377,529.235,431.377,12.053,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2063,moderat,42.347,20.939,1230.638,3654.266,0.186000,679.693,8.163,97.858,785.714,444.924,542.782,444.924,12.175,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2064,moderat,42.183,20.941,1259.037,3731.126,0.186000,693.989,8.367,97.858,800.214,458.822,556.680,458.822,12.297,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2065,moderat,42.019,20.942,1288.091,3809.546,0.186000,708.576,8.576,97.858,815.010,473.081,570.939,473.081,12.418,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2066,moderat,41.856,20.944,1317.815,3889.555,0.186000,723.457,8.790,97.858,830.106,487.710,585.568,487.710,12.539,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2067,moderat,41.692,20.945,1348.226,3971.183,0.186000,738.640,9.010,97.858,845.508,502.717,600.575,502.717,12.659,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2068,moderat,41.528,20.947,1379.338,4054.462,0.186000,754.130,9.236,97.858,861.223,518.114,615.972,518.114,12.779,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2069,moderat,41.364,20.948,1411.168,4139.422,0.186000,769.933,9.466,97.858,877.257,533.911,631.769,533.911,12.898,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2070,moderat,41.200,20.950,1443.732,4226.097,0.186000,786.054,9.703,97.858,893.615,550.117,647.975,550.117,13.017,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2027,alt,49.940,17.840,436.143,1771.589,0.186000,329.516,3.356,97.858,430.729,5.413,103.271,5.413,0.306,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2028,alt,49.520,18.154,456.261,1800.605,0.186000,334.912,3.440,97.858,436.210,20.050,117.908,20.050,1.114,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2029,alt,49.100,18.469,477.163,1829.964,0.186000,340.373,3.526,97.858,441.757,35.406,133.264,35.406,1.935,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2030,alt,48.680,18.783,498.879,1859.666,0.186000,345.898,3.614,97.858,447.370,51.509,149.367,51.509,2.770,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2031,alt,48.260,19.098,521.436,1889.709,0.186000,351.486,3.704,97.858,453.048,68.388,166.246,68.388,3.619,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2032,alt,47.840,19.413,544.865,1920.092,0.186000,357.137,3.797,97.858,458.792,86.074,183.932,86.074,4.483,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2033,alt,47.419,19.727,569.198,1950.814,0.186000,362.851,3.892,97.858,464.601,104.597,202.455,104.597,5.362,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2034,alt,46.999,20.042,594.466,1981.871,0.186000,368.628,3.989,97.858,470.475,123.992,221.850,123.992,6.256,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2035,alt,46.579,20.356,620.703,2013.262,0.186000,374.467,4.089,97.858,476.413,144.290,242.148,144.290,7.167,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2036,alt,46.159,20.671,647.943,2044.983,0.186000,380.367,4.191,97.858,482.416,165.528,263.386,165.528,8.094,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2037,alt,45.739,20.985,676.222,2077.033,0.186000,386.328,4.296,97.858,488.482,187.741,285.599,187.741,9.039,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2038,alt,45.319,21.300,705.577,2109.407,0.186000,392.350,4.403,97.858,494.611,210.966,308.824,210.966,10.001,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2039,alt,45.062,21.316,725.865,2149.888,0.186000,399.879,4.513,97.858,502.250,223.615,321.473,223.615,10.401,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2040,alt,44.805,21.331,743.105,2191.075,0.186000,407.540,4.626,97.858,510.024,233.081,330.939,233.081,10.638,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2041,alt,44.549,21.347,760.753,2232.977,0.186000,415.334,4.742,97.858,517.933,242.820,340.678,242.820,10.874,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2042,alt,44.292,21.363,778.820,2275.605,0.186000,423.263,4.860,97.858,525.981,252.839,350.697,252.839,11.111,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2043,alt,44.035,21.378,797.315,2318.969,0.186000,431.328,4.982,97.858,534.168,263.148,361.006,263.148,11.348,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2044,alt,43.778,21.394,816.250,2363.079,0.186000,439.533,5.106,97.858,542.497,273.753,371.611,273.753,11.585,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2045,alt,43.521,21.409,835.633,2407.945,0.186000,447.878,5.234,97.858,550.970,284.664,382.522,284.664,11.822,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2046,alt,43.264,21.425,855.477,2453.578,0.186000,456.365,5.365,97.858,559.588,295.889,393.747,295.889,12.059,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
