jahr,destatis_variante,destatis_variante_label,rentenalter_szenario,regelaltersgrenze,nicht_in_rente_mio,effektive_beitragszahler_mio,erwerbstaetigenquote_65plus,erwerbspersonenquote_65plus,notiz
2070,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",daenemarknah,72.000,9.422,0.818,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2035,alt_g1l3w1,relativ alte Bevoelkerung,status_quo_67,67.000,0.000,0.000,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2035,alt_g1l3w1,relativ alte Bevoelkerung,lebenserwartung_2zu1,68.000,2.408,0.209,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2035,alt_g1l3w1,relativ alte Bevoelkerung,daenemarknah,69.000,4.839,0.420,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2039,alt_g1l3w1,relativ alte Bevoelkerung,status_quo_67,67.000,0.000,0.000,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2039,alt_g1l3w1,relativ alte Bevoelkerung,lebenserwartung_2zu1,68.400,2.737,0.238,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2039,alt_g1l3w1,relativ alte Bevoelkerung,daenemarknah,69.800,5.676,0.493,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2050,alt_g1l3w1,relativ alte Bevoelkerung,status_quo_67,67.000,0.000,0.000,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2050,alt_g1l3w1,relativ alte Bevoelkerung,lebenserwartung_2zu1,69.500,5.039,0.437,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2050,alt_g1l3w1,relativ alte Bevoelkerung,daenemarknah,70.667,7.335,0.637,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2070,alt_g1l3w1,relativ alte Bevoelkerung,status_quo_67,67.000,0.000,0.000,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2070,alt_g1l3w1,relativ alte Bevoelkerung,lebenserwartung_2zu1,71.500,8.133,0.706,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2070,alt_g1l3w1,relativ alte Bevoelkerung,daenemarknah,72.000,9.074,0.788,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2035,jung_g3l1w3,relativ junge Bevoelkerung,status_quo_67,67.000,0.000,0.000,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2035,jung_g3l1w3,relativ junge Bevoelkerung,lebenserwartung_2zu1,68.000,2.397,0.208,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2035,jung_g3l1w3,relativ junge Bevoelkerung,daenemarknah,69.000,4.813,0.418,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2039,jung_g3l1w3,relativ junge Bevoelkerung,status_quo_67,67.000,0.000,0.000,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2039,jung_g3l1w3,relativ junge Bevoelkerung,lebenserwartung_2zu1,68.400,2.724,0.236,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2039,jung_g3l1w3,relativ junge Bevoelkerung,daenemarknah,69.800,5.639,0.490,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2050,jung_g3l1w3,relativ junge Bevoelkerung,status_quo_67,67.000,0.000,0.000,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2050,jung_g3l1w3,relativ junge Bevoelkerung,lebenserwartung_2zu1,69.500,5.042,0.438,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2050,jung_g3l1w3,relativ junge Bevoelkerung,daenemarknah,70.667,7.323,0.636,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2070,jung_g3l1w3,relativ junge Bevoelkerung,status_quo_67,67.000,0.000,0.000,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2070,jung_g3l1w3,relativ junge Bevoelkerung,lebenserwartung_2zu1,71.500,8.741,0.759,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2070,jung_g3l1w3,relativ junge Bevoelkerung,daenemarknah,72.000,9.721,0.844,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
